Sport,AFG,AHO,ALB,ALG,AND,ANG,ANT,ANZ,ARG,ARM,ARU,ASA,AUS,AUT,AZE,BAH,BAN,BAR,BDI,BEL,BEN,BER,BHU,BIH,BIZ,BLR,BOH,BOL,BOT,BRA,BRN,BRU,BUL,BUR,CAF,CAM,CAN,CAY,CGO,CHA,CHI,CHN,CIV,CMR,COD,COK,COL,COM,CPV,CRC,CRO,CRT,CUB,CYP,CZE,DEN,DJI,DMA,DOM,ECU,EGY,ERI,ESA,ESP,EST,ETH,EUN,FIJ,FIN,FRA,FRG,FSM,GAB,GAM,GBR,GBS,GDR,GEO,GEQ,GER,GHA,GRE,GRN,GUA,GUI,GUM,GUY,HAI,HKG,HON,HUN,INA,IND,IOA,IRI,IRL,IRQ,ISL,ISR,ISV,ITA,IVB,JAM,JOR,JPN,KAZ,KEN,KGZ,KIR,KOR,KOS,KSA,KUW,LAO,LAT,LBA,LBR,LCA,LES,LIB,LIE,LTU,LUX,MAD,MAL,MAR,MAS,MAW,MDA,MDV,MEX,MGL,MHL,MKD,MLI,MLT,MNE,MON,MOZ,MRI,MTN,MYA,NAM,NBO,NCA,NED,NEP,NFL,NGR,NIG,NOR,NRU,NZL,OMA,PAK,PAN,PAR,PER,PHI,PLE,PLW,PNG,POL,POR,PRK,PUR,QAT,RHO,ROT,ROU,RSA,RUS,RWA,SAA,SAM,SCG,SEN,SEY,SGP,SKN,SLE,SLO,SMR,SOL,SOM,SRB,SRI,SSD,STP,SUD,SUI,SUR,SVK,SWE,SWZ,SYR,TAN,TCH,TGA,THA,TJK,TKM,TLS,TOG,TPE,TTO,TUN,TUR,TUV,UAE,UAR,UGA,UKR,UNK,URS,URU,USA,UZB,VAN,VEN,VIE,VIN,VNM,WIF,YAR,YEM,YMD,YUG,ZAM,ZIM
Aeronautics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine Skiing,,,7.0,10.0,105.0,,,,262.0,11.0,,,141.0,556.0,7.0,,,,,48.0,,,,29.0,,14.0,,31.0,,33.0,,,143.0,,,,419.0,3.0,,,162.0,32.0,,,,,2.0,,,15.0,93.0,,,47.0,116.0,20.0,,,,,3.0,,,218.0,13.0,,19.0,2.0,87.0,476.0,146.0,,,,338.0,,3.0,24.0,,255.0,1.0,100.0,,11.0,,,,,,,99.0,,16.0,,72.0,17.0,,145.0,4.0,9.0,498.0,,,,198.0,31.0,,6.0,,76.0,,,,,28.0,,,,,89.0,205.0,10.0,14.0,2.0,,44.0,,,4.0,,39.0,,,12.0,,2.0,5.0,26.0,,,,,,,,8.0,,,,,358.0,,108.0,,2.0,,,8.0,6.0,,,,125.0,9.0,3.0,14.0,,,,110.0,12.0,113.0,,,,12.0,18.0,,,,,198.0,29.0,,,12.0,,,,,520.0,,72.0,304.0,3.0,,,118.0,,3.0,10.0,,1.0,2.0,28.0,,,107.0,,,,,36.0,,109.0,1.0,552.0,12.0,,1.0,,,,,,,,150.0,,2.0
Alpinism,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,2.0,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archery,,,,,,,,,2.0,,,1.0,73.0,4.0,1.0,,2.0,,,81.0,,,34.0,,,10.0,,,,21.0,,,7.0,,1.0,,46.0,,,,3.0,98.0,2.0,,,,17.0,,,5.0,,,8.0,2.0,2.0,27.0,,,1.0,,11.0,,2.0,36.0,4.0,,12.0,3.0,45.0,151.0,24.0,,,,133.0,,,18.0,,38.0,,17.0,,,,1.0,,,11.0,,14.0,38.0,56.0,,5.0,11.0,1.0,,,,93.0,,,1.0,92.0,27.0,4.0,,,102.0,,5.0,,1.0,,1.0,,,,,,,10.0,,,1.0,20.0,1.0,4.0,,56.0,22.0,,,,4.0,,2.0,,3.0,,5.0,,,,54.0,1.0,,,,18.0,,10.0,,,,,,10.0,,,,66.0,8.0,19.0,7.0,1.0,,,5.0,13.0,47.0,,,2.0,,,,,,,9.0,3.0,1.0,,,,,,,16.0,,2.0,68.0,,,,4.0,3.0,7.0,2.0,,,,87.0,,,57.0,,,,1.0,63.0,,25.0,,175.0,,1.0,5.0,,,,,,,,2.0,,9.0
Art Competitions,,,,,,,,,2.0,,,,3.0,199.0,,,,,,171.0,,,,,,,1.0,1.0,,1.0,,,5.0,,,,83.0,,,,,5.0,,,,,1.0,,,,,,3.0,,,104.0,,,,,3.0,,4.0,3.0,,,,,9.0,366.0,,,,,339.0,,,,,356.0,,9.0,,1.0,,,,1.0,,,87.0,,2.0,,,42.0,,1.0,,,189.0,,,,129.0,,,,,,,,,,24.0,,,,,,,,42.0,,,,,,,,18.0,,,,,,,8.0,,,,,,,,209.0,,,,,17.0,,,,,,,3.0,2.0,,,,163.0,1.0,,,,,,3.0,21.0,4.0,,,,,,,,,,,,,,,,,,,158.0,,,107.0,,,,87.0,,,,,,,,,,3.0,,,,,,2.0,,8.0,562.0,,,1.0,,,,,,,,15.0,,
Athletics,22.0,14.0,12.0,139.0,13.0,29.0,96.0,22.0,247.0,18.0,9.0,11.0,994.0,327.0,21.0,251.0,28.0,109.0,30.0,519.0,42.0,62.0,,21.0,38.0,246.0,39.0,39.0,74.0,519.0,73.0,6.0,306.0,26.0,29.0,17.0,1153.0,17.0,58.0,37.0,167.0,457.0,100.0,97.0,34.0,14.0,208.0,14.0,11.0,41.0,64.0,10.0,442.0,67.0,183.0,257.0,28.0,15.0,73.0,83.0,63.0,41.0,37.0,637.0,125.0,289.0,114.0,65.0,912.0,1500.0,392.0,10.0,22.0,50.0,2244.0,12.0,366.0,18.0,37.0,1254.0,190.0,668.0,38.0,76.0,29.0,20.0,53.0,59.0,36.0,30.0,767.0,44.0,269.0,13.0,61.0,300.0,50.0,117.0,84.0,61.0,1021.0,31.0,680.0,21.0,782.0,138.0,466.0,33.0,7.0,243.0,2.0,105.0,49.0,28.0,146.0,27.0,70.0,19.0,51.0,29.0,33.0,112.0,102.0,58.0,13.0,197.0,66.0,46.0,61.0,33.0,372.0,22.0,6.0,10.0,33.0,20.0,6.0,15.0,37.0,48.0,22.0,30.0,30.0,2.0,38.0,511.0,39.0,1.0,417.0,21.0,351.0,,237.0,38.0,130.0,36.0,31.0,80.0,96.0,10.0,9.0,60.0,851.0,325.0,40.0,154.0,94.0,4.0,6.0,325.0,376.0,604.0,39.0,8.0,13.0,46.0,162.0,47.0,28.0,42.0,99.0,97.0,20.0,17.0,32.0,39.0,67.0,3.0,12.0,53.0,421.0,29.0,92.0,1007.0,34.0,32.0,102.0,363.0,20.0,159.0,11.0,11.0,7.0,31.0,128.0,249.0,74.0,224.0,5.0,23.0,2.0,143.0,390.0,,855.0,51.0,3211.0,94.0,25.0,117.0,29.0,36.0,5.0,12.0,7.0,14.0,3.0,195.0,70.0,82.0
Badminton,,,,1.0,,,,,,,,,57.0,9.0,,,,,,6.0,,,,,,6.0,,,,2.0,,1.0,32.0,,,,61.0,,,,,129.0,,,,,,,,,,,1.0,,6.0,104.0,,,,,2.0,,,11.0,5.0,,2.0,,14.0,20.0,,,,,83.0,,,,,50.0,,2.0,,5.0,,,,,36.0,,7.0,98.0,27.0,,1.0,7.0,,8.0,2.0,,3.0,,1.0,,73.0,,,,,112.0,,,,,,,,,,,,3.0,,,,,51.0,,,1.0,3.0,,,,,,,,,27.0,,,,,,31.0,,,5.0,,3.0,,15.0,,,,,5.0,1.0,,,,32.0,12.0,,,,,,1.0,22.0,30.0,,,,,,2.0,21.0,,,3.0,,,,,5.0,,,,12.0,3.0,2.0,35.0,,,,2.0,,50.0,,,,,34.0,1.0,,2.0,,,,2.0,18.0,,,,33.0,,,,5.0,,,,,,,,1.0,
Baseball,,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,24.0,,,,,,,,,,,112.0,,,,,,20.0,,,,,20.0,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,88.0,,,,112.0,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,92.0,,,,,,,,,,,,,,,,,,,,20.0,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,,,,,,,,,,,,88.0,,,,,,,,,,,,,
Basketball,,,,,,71.0,,,88.0,,,,262.0,,,,,,,34.0,,,,,,22.0,,,,255.0,,,85.0,,12.0,,178.0,,,,43.0,223.0,,,12.0,,,,,,58.0,,121.0,,36.0,,,,,,77.0,,,191.0,8.0,,24.0,,23.0,147.0,24.0,,,,37.0,,,,,34.0,,60.0,,,,,,,,,61.0,,12.0,,25.0,13.0,10.0,,12.0,,184.0,,,,115.0,,,,,134.0,,,,,19.0,,,,,,,83.0,,,,12.0,,,,,84.0,,,,12.0,,,,,,,,,,,,,,35.0,,,,60.0,,,12.0,,32.0,79.0,,,,82.0,,,108.0,,,,12.0,,94.0,,,,36.0,60.0,,10.0,,,,,,,24.0,,,,,36.0,,12.0,12.0,,,,123.0,,9.0,,,,,11.0,,12.0,42.0,,,,,12.0,,146.0,81.0,341.0,,,22.0,,,,,,,,132.0,,
Basque Pelota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beach Volleyball,,,,,,2.0,,,14.0,,,,36.0,20.0,,,,,,2.0,,,,,,,,,,48.0,,,4.0,,,,26.0,,,,2.0,20.0,,,,,,,,2.0,,,14.0,,18.0,,,,,,2.0,,,18.0,4.0,,,,,10.0,,,,,6.0,,,4.0,,42.0,,14.0,,,,,,,,,,4.0,,,,,,,,,24.0,,,,18.0,,,,,,,,,,8.0,,,,,,,,,,,,,,,,12.0,,,,,,,,,2.0,,,,,,28.0,,,,,24.0,,2.0,,,,,,,,,,8.0,8.0,,2.0,2.0,,,,8.0,18.0,,,,,,,,,,,,,,,,,,,24.0,,,6.0,,,,,,,,,,,,,2.0,,,,,,,,,,52.0,,,4.0,,,,,,,,,,
Biathlon,,,,,2.0,,,,40.0,,,,22.0,167.0,,,,,,,,,,8.0,,185.0,,,,2.0,,,139.0,,,,152.0,,,,8.0,129.0,,,,,,,,2.0,9.0,,,,177.0,2.0,,,,,,,,13.0,140.0,,23.0,,175.0,277.0,49.0,,,,106.0,,55.0,,,233.0,,17.0,,,,1.0,,,,,67.0,,,,,,,,,,230.0,,,,162.0,94.0,,6.0,,41.0,,,,,118.0,,,,,,,26.0,,,,,,,26.0,,,6.0,,,,,,,,,,,,,,,,,,,281.0,,2.0,,,,,,,,,,200.0,,,2.0,,,,112.0,,197.0,,,,2.0,,,,,,161.0,,,,4.0,,,,,85.0,,138.0,218.0,,,,72.0,,,,,,,4.0,,,,,,,,171.0,,63.0,,246.0,,,,,,,,,,,26.0,,
Bobsleigh,,4.0,,,,,,,29.0,4.0,,2.0,41.0,198.0,,,,,,56.0,,,,12.0,,,,,,14.0,,,20.0,,,,169.0,,,,,,,,,,,,,,14.0,,,,49.0,,,,,,,,,18.0,,,12.0,,,152.0,72.0,,,,210.0,,48.0,,,182.0,,10.0,,,,,,,,,19.0,,,,,16.0,,,,38.0,230.0,,30.0,,92.0,,,,,18.0,,,,,74.0,,,,,,6.0,,9.0,,,,,,,,19.0,,,,,,,35.0,,,,,,,,43.0,,,,,44.0,,18.0,,,,,,,,,,42.0,8.0,,16.0,,,,155.0,,84.0,,,,4.0,,,,,,,2.0,,,6.0,,,,,242.0,,22.0,75.0,,,,28.0,,,,,,,34.0,7.0,,,,,,,14.0,,24.0,,266.0,,,,,,,,,,,22.0,,
Boxing,5.0,,,69.0,1.0,7.0,2.0,1.0,133.0,18.0,2.0,5.0,125.0,37.0,37.0,7.0,,9.0,,57.0,13.0,4.0,,,1.0,22.0,,1.0,10.0,80.0,,,99.0,4.0,6.0,5.0,141.0,,5.0,1.0,38.0,50.0,8.0,42.0,14.0,3.0,47.0,,2.0,3.0,8.0,,126.0,,7.0,84.0,,,51.0,24.0,81.0,,2.0,72.0,4.0,27.0,12.0,5.0,72.0,172.0,37.0,1.0,12.0,1.0,224.0,,45.0,11.0,,108.0,56.0,33.0,9.0,7.0,7.0,1.0,18.0,6.0,2.0,6.0,110.0,21.0,56.0,1.0,55.0,124.0,22.0,,5.0,10.0,175.0,,22.0,5.0,77.0,56.0,62.0,12.0,,110.0,,,3.0,9.0,3.0,,4.0,,10.0,9.0,,18.0,29.0,12.0,,83.0,3.0,16.0,8.0,,97.0,54.0,,,4.0,,2.0,,5.0,14.0,,20.0,13.0,,14.0,65.0,15.0,,73.0,13.0,54.0,,28.0,2.0,48.0,5.0,4.0,8.0,75.0,,,15.0,137.0,1.0,25.0,89.0,2.0,4.0,,115.0,75.0,64.0,,3.0,18.0,1.0,6.0,14.0,1.0,,9.0,,,1.0,,1.0,14.0,,,20.0,38.0,,2.0,77.0,8.0,19.0,36.0,51.0,13.0,83.0,10.0,7.0,,8.0,21.0,5.0,47.0,68.0,,,4.0,71.0,43.0,,96.0,36.0,255.0,50.0,2.0,82.0,2.0,,1.0,,,,2.0,45.0,51.0,11.0
Canoeing,,,,,1.0,6.0,3.0,,49.0,2.0,,,242.0,120.0,7.0,,,,,96.0,,,,3.0,,60.0,,2.0,,49.0,,,133.0,,,,300.0,,,,2.0,111.0,20.0,,,5.0,,,,6.0,26.0,,52.0,,105.0,124.0,,,,2.0,4.0,,,192.0,6.0,,23.0,,100.0,280.0,104.0,,,,262.0,,99.0,1.0,,281.0,,15.0,,1.0,,2.0,,,27.0,,306.0,7.0,,7.0,6.0,48.0,,,15.0,,180.0,,,,98.0,68.0,,4.0,,48.0,,,,,20.0,,,,,1.0,,26.0,19.0,,,3.0,1.0,,8.0,,64.0,,,6.0,,,,,4.0,,,2.0,,,,85.0,,,2.0,,100.0,,75.0,,,1.0,,1.0,,,2.0,,288.0,53.0,,,,,,222.0,40.0,114.0,,5.0,6.0,11.0,6.0,4.0,2.0,,,36.0,,,,31.0,,,3.0,,82.0,,106.0,229.0,,,,169.0,,1.0,,,,3.0,,,8.0,2.0,,,,,63.0,,141.0,4.0,311.0,47.0,,5.0,1.0,,,,,,,48.0,,
Cricket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croquet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cross Country Skiing,,,,2.0,7.0,,,,41.0,22.0,,,61.0,241.0,,,,,,,,2.0,,9.0,,182.0,,,,8.0,,,176.0,,,,371.0,,,,1.0,136.0,,2.0,,,,,,7.0,46.0,,,,206.0,33.0,,1.0,,,,,,108.0,197.0,2.0,40.0,2.0,590.0,383.0,128.0,,,,130.0,,143.0,,,348.0,,50.0,,4.0,,,,,,3.0,51.0,,3.0,,5.0,4.0,,53.0,,,528.0,,,,321.0,240.0,4.0,1.0,,107.0,,,,,61.0,,,,,1.0,46.0,61.0,1.0,,,6.0,,,9.0,,7.0,60.0,,10.0,,,,,,,,,,,,,5.0,,,,578.0,,5.0,,,,,2.0,,,,,288.0,2.0,14.0,,,,,98.0,4.0,255.0,,,,2.0,,,,,,75.0,6.0,,,8.0,,,,,415.0,,96.0,596.0,,,,276.0,,3.0,,,,1.0,7.0,,,67.0,,,,,150.0,,247.0,,538.0,,,,,,,,,,,134.0,,
Curling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,17.0,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,9.0,14.0,,,,,52.0,,,,,40.0,,,,,,,,,,,,,,,,,,,,,9.0,,,,29.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,5.0,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,43.0,,,51.0,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,
