Sport,AFG,AHO,ALB,ALG,AND,ANG,ANT,ANZ,ARG,ARM,ARU,ASA,AUS,AUT,AZE,BAH,BAN,BAR,BDI,BEL,BEN,BER,BHU,BIH,BIZ,BLR,BOH,BOL,BOT,BRA,BRN,BRU,BUL,BUR,CAF,CAM,CAN,CAY,CGO,CHA,CHI,CHN,CIV,CMR,COD,COK,COL,COM,CPV,CRC,CRO,CRT,CUB,CYP,CZE,DEN,DJI,DMA,DOM,ECU,EGY,ERI,ESA,ESP,EST,ETH,EUN,FIJ,FIN,FRA,FRG,FSM,GAB,GAM,GBR,GBS,GDR,GEO,GEQ,GER,GHA,GRE,GRN,GUA,GUI,GUM,GUY,HAI,HKG,HON,HUN,INA,IND,IOA,IRI,IRL,IRQ,ISL,ISR,ISV,ITA,IVB,JAM,JOR,JPN,KAZ,KEN,KGZ,KIR,KOR,KOS,KSA,KUW,LAO,LAT,LBA,LBR,LCA,LES,LIB,LIE,LTU,LUX,MAD,MAL,MAR,MAS,MAW,MDA,MDV,MEX,MGL,MHL,MKD,MLI,MLT,MNE,MON,MOZ,MRI,MTN,MYA,NAM,NBO,NCA,NED,NEP,NFL,NGR,NIG,NOR,NRU,NZL,OMA,PAK,PAN,PAR,PER,PHI,PLE,PLW,PNG,POL,POR,PRK,PUR,QAT,RHO,ROT,ROU,RSA,RUS,RWA,SAA,SAM,SCG,SEN,SEY,SGP,SKN,SLE,SLO,SMR,SOL,SOM,SRB,SRI,SSD,STP,SUD,SUI,SUR,SVK,SWE,SWZ,SYR,TAN,TCH,TGA,THA,TJK,TKM,TLS,TOG,TPE,TTO,TUN,TUR,TUV,UAE,UAR,UGA,UKR,UNK,URS,URU,USA,UZB,VAN,VEN,VIE,VIN,VNM,WIF,YAR,YEM,YMD,YUG,ZAM,ZIM
Rowing,,,,10.0,,2.0,,10.0,184.0,,,,509.0,132.0,4.0,1.0,,,,180.0,,2.0,,,,66.0,1.0,,,137.0,,,176.0,,,,559.0,,,,31.0,170.0,,2.0,,,1.0,,,,46.0,,131.0,,59.0,282.0,,,,1.0,50.0,,3.0,135.0,36.0,,47.0,,93.0,531.0,178.0,,,,708.0,,205.0,,,526.0,,194.0,,3.0,,,,,21.0,1.0,194.0,3.0,10.0,2.0,5.0,66.0,3.0,,,,532.0,,,,180.0,8.0,2.0,,,64.0,,,1.0,,8.0,1.0,,,,1.0,,30.0,,,,,,,,,69.0,,,,,,,7.0,,,,2.0,,,,470.0,,,1.0,1.0,171.0,,254.0,,3.0,,5.0,12.0,2.0,,,,313.0,41.0,6.0,2.0,,,,358.0,67.0,86.0,,7.0,,12.0,,,1.0,,,42.0,,,,13.0,,,,,253.0,,5.0,149.0,,,,246.0,,5.0,,,,1.0,5.0,1.0,8.0,3.0,,,9.0,,81.0,,321.0,44.0,828.0,6.0,1.0,2.0,6.0,,,,,,,132.0,,7.0
Rugby,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,30.0,,,,,15.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,
Rugby Sevens,,,,,,,,,13.0,,,,25.0,,,,,,,,,,,,,,,,,25.0,,,,,,,12.0,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,25.0,,,,26.0,,25.0,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,
Sailing,,6.0,,3.0,5.0,6.0,9.0,,178.0,,4.0,2.0,210.0,127.0,,54.0,,15.0,,93.0,,61.0,,,,19.0,,,1.0,181.0,5.0,,11.0,,,3.0,212.0,16.0,,,27.0,60.0,,,,5.0,6.0,,,,44.0,,19.0,25.0,19.0,207.0,4.0,,2.0,1.0,3.0,,4.0,198.0,31.0,,14.0,22.0,177.0,483.0,64.0,,,,335.0,,47.0,2.0,,181.0,,141.0,,9.0,,8.0,,,39.0,,77.0,14.0,12.0,1.0,,86.0,,6.0,55.0,48.0,262.0,10.0,17.0,,116.0,,4.0,1.0,,40.0,,,,,9.0,,,3.0,,3.0,,10.0,1.0,,,2.0,7.0,,,,64.0,,,,,10.0,2.0,13.0,,1.0,,6.0,,,,210.0,,,,,266.0,,154.0,1.0,10.0,,2.0,6.0,20.0,,,2.0,96.0,128.0,,42.0,2.0,2.0,,7.0,46.0,81.0,,,,,1.0,11.0,39.0,,,33.0,3.0,,,,4.0,,,,160.0,,7.0,326.0,,,,12.0,,32.0,,,,,13.0,7.0,7.0,44.0,,1.0,,,46.0,,110.0,32.0,296.0,,,21.0,,,,2.0,,,,18.0,,8.0
Shooting,,7.0,16.0,2.0,12.0,3.0,,3.0,120.0,9.0,,,244.0,182.0,14.0,,8.0,8.0,,217.0,,,2.0,19.0,6.0,87.0,5.0,20.0,,122.0,9.0,2.0,141.0,,,,223.0,,,,53.0,236.0,,,,,63.0,,,25.0,47.0,1.0,94.0,23.0,95.0,286.0,,,9.0,16.0,84.0,,24.0,218.0,12.0,,28.0,4.0,347.0,594.0,81.0,,,,471.0,,71.0,19.0,,250.0,,388.0,,51.0,,,,9.0,35.0,1.0,298.0,9.0,105.0,19.0,33.0,25.0,3.0,4.0,64.0,23.0,339.0,,2.0,16.0,191.0,54.0,32.0,18.0,,206.0,1.0,14.0,24.0,6.0,14.0,,,,,26.0,16.0,6.0,22.0,,5.0,9.0,22.0,,6.0,,112.0,63.0,,7.0,,18.0,4.0,51.0,,,,6.0,8.0,,8.0,175.0,7.0,,,,410.0,,42.0,21.0,22.0,4.0,10.0,88.0,72.0,,,3.0,179.0,124.0,62.0,61.0,18.0,1.0,,135.0,102.0,250.0,,3.0,,32.0,2.0,,16.0,,,25.0,55.0,,,45.0,22.0,,,6.0,296.0,,46.0,574.0,2.0,12.0,,193.0,,118.0,4.0,5.0,,,57.0,8.0,5.0,38.0,,16.0,3.0,,98.0,,139.0,7.0,645.0,20.0,,57.0,23.0,,5.0,2.0,,,,57.0,,21.0
Short Track Speed Skating,,,,,,,,,,,,,54.0,5.0,,,,,,31.0,,,,,,7.0,,,,,,,31.0,,,,153.0,,,,,140.0,,,,,,,,,,,,,12.0,,,,,,,,,,,,8.0,,,74.0,,,,,70.0,,,,,63.0,,,,,,,,,12.0,,56.0,,,,,,,,6.0,,137.0,,,,122.0,15.0,,,,141.0,,,,,6.0,,,,,,,3.0,,,,,,,,,,6.0,,,,,,,,,,,,,,78.0,,,,,8.0,,22.0,,,,,,,,,,15.0,,20.0,,,,,7.0,2.0,69.0,,,,,,,,,,,,,,,,,,,,,7.0,7.0,,,,,,,,,,,2.0,,,,,,,,10.0,,,,135.0,,,,,,,,,,,,,
Skeleton,,,,,,,,,1.0,,,,8.0,11.0,,,,,,,,1.0,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,2.0,,,,,,5.0,,,,,18.0,,,,,19.0,,3.0,,,,,,,,,,,,,,4.0,,,,,10.0,,,,10.0,,,,,5.0,,,,,7.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,3.0,,8.0,,,,,,,,,,1.0,,,,,,,3.0,1.0,14.0,,,,,,,,,,1.0,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,
Ski Jumping,,,,,,,,,,,,,,167.0,,,,,,,,,,,,12.0,,,,,,,23.0,,,,115.0,,,,,8.0,,,,,,,,,,,,,72.0,,,,,,,,,7.0,12.0,,12.0,,168.0,96.0,39.0,,,,4.0,,43.0,6.0,,116.0,,2.0,,,,,,,,,11.0,,,,,,,3.0,,,96.0,,,,166.0,50.0,,2.0,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,,,,,,,,,,,,133.0,,,,,,,6.0,,69.0,,,,,,,,,,88.0,,,,,,,,,134.0,,10.0,92.0,,,,86.0,,,,,,,,,,,,,,,18.0,,54.0,,175.0,,,,,,,,,,,72.0,,
Snowboarding,,,,,2.0,,,,1.0,,,,33.0,72.0,,,,,,1.0,,,,,,,,,,3.0,,,8.0,,,,88.0,,,,,13.0,,,,,,,,,1.0,,,,15.0,2.0,,,,,,,,16.0,,,,,35.0,73.0,,,,,16.0,,,,,54.0,,3.0,,,,,,,,,,,,,,2.0,,,,,64.0,,,,49.0,2.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,36.0,,15.0,,,,,,,,,,25.0,,,,,,,,,38.0,,,,,,,,,,26.0,,,,2.0,,,,,88.0,,4.0,37.0,,,,,,,,,,,,,,,,,,,6.0,,,,85.0,,,,,,,,,,,,,
Softball,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,60.0,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,30.0,,,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,15.0,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,60.0,,,15.0,,,,,,,,,,
Speed Skating,,,,,,,,,,,,,63.0,163.0,,,,,,50.0,,,,,,24.0,,,,,,,,,,,433.0,,,,,176.0,,,,,,,,,,,,,14.0,9.0,,,,,,,,,10.0,,36.0,,244.0,109.0,78.0,,,,114.0,,100.0,,,289.0,,,,,,,,,,,68.0,,,,,,,,,,181.0,2.0,,,474.0,68.0,,,,271.0,,,,,27.0,,,,,,,4.0,,,,,,,,,,25.0,,,,,,,,,,,,,,503.0,,,,,410.0,,5.0,,,,,,,,,,149.0,1.0,75.0,,,,,52.0,,202.0,,,,,,,,,,,,,,,,,,,34.0,,,281.0,,,,34.0,,,,,,,2.0,,,,,,,,17.0,,222.0,,570.0,,,,,,,,,,,24.0,,
Swimming,,11.0,11.0,38.0,10.0,43.0,6.0,33.0,254.0,8.0,9.0,4.0,1235.0,209.0,11.0,43.0,13.0,36.0,7.0,279.0,7.0,51.0,,15.0,,91.0,,23.0,4.0,507.0,12.0,1.0,124.0,7.0,3.0,23.0,995.0,16.0,12.0,,28.0,506.0,8.0,5.0,1.0,5.0,123.0,4.0,,60.0,106.0,,53.0,31.0,102.0,349.0,2.0,3.0,6.0,46.0,101.0,,83.0,438.0,47.0,4.0,67.0,60.0,237.0,887.0,356.0,10.0,1.0,1.0,1291.0,,334.0,7.0,2.0,711.0,2.0,242.0,6.0,85.0,8.0,44.0,6.0,3.0,205.0,65.0,719.0,42.0,36.0,10.0,6.0,112.0,4.0,131.0,131.0,81.0,722.0,1.0,39.0,12.0,858.0,68.0,13.0,77.0,,225.0,2.0,9.0,35.0,8.0,29.0,14.0,,6.0,1.0,43.0,4.0,78.0,53.0,21.0,5.0,9.0,93.0,7.0,39.0,15.0,393.0,9.0,6.0,30.0,10.0,15.0,3.0,12.0,29.0,25.0,,7.0,9.0,,21.0,693.0,12.0,,12.0,8.0,103.0,,306.0,3.0,25.0,33.0,20.0,79.0,197.0,8.0,7.0,12.0,260.0,160.0,,185.0,7.0,,4.0,202.0,291.0,381.0,10.0,1.0,2.0,28.0,24.0,24.0,143.0,,3.0,100.0,26.0,,,32.0,25.0,,,6.0,251.0,29.0,40.0,745.0,16.0,13.0,6.0,110.0,3.0,82.0,7.0,8.0,,3.0,159.0,33.0,30.0,100.0,,61.0,,10.0,203.0,,471.0,69.0,1638.0,56.0,,161.0,37.0,6.0,9.0,,,3.0,,104.0,14.0,67.0
Synchronized Swimming,,4.0,,,,,,,4.0,,4.0,,57.0,14.0,,,,1.0,,5.0,,,,,,8.0,,,,33.0,,,2.0,,,,67.0,,,,,72.0,,,,,2.0,,,,,,2.0,,10.0,,,,4.0,,40.0,,,49.0,,,5.0,,1.0,41.0,10.0,,,,30.0,,,,,4.0,,20.0,,,,,,,,,4.0,,,5.0,,,,,8.0,,52.0,,,,78.0,10.0,,,,11.0,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,14.0,,,,,,,6.0,,,,,,,,,,,,6.0,2.0,,,,,4.0,63.0,,,,,,,,,,,,,,,,,,,25.0,,6.0,1.0,,,,1.0,,,,,,,,,,,,,,,18.0,,5.0,,62.0,,,5.0,,,,,,,,,,
Table Tennis,,,,10.0,,,,,14.0,,,,72.0,55.0,,,,,,14.0,,,,2.0,,28.0,,,,56.0,,,3.0,,,,45.0,,8.0,,31.0,100.0,,2.0,4.0,,3.0,,,,36.0,,18.0,,22.0,10.0,1.0,,15.0,1.0,35.0,,,25.0,1.0,,11.0,1.0,1.0,44.0,10.0,,,,34.0,,,,,74.0,8.0,21.0,,,,,,,78.0,1.0,36.0,11.0,26.0,7.0,9.0,,1.0,,1.0,,19.0,,6.0,5.0,98.0,2.0,,,,101.0,,2.0,3.0,,1.0,1.0,,,,3.0,,5.0,6.0,,,1.0,4.0,,,,5.0,,,,,,,,,5.0,,,,,,42.0,,,72.0,,,,17.0,,1.0,,3.0,11.0,1.0,,,,42.0,16.0,52.0,2.0,4.0,,,39.0,2.0,39.0,,,,13.0,1.0,,40.0,,,4.0,,,,4.0,,,,1.0,1.0,,5.0,61.0,,1.0,,12.0,,7.0,,2.0,,1.0,59.0,2.0,17.0,6.0,,,,7.0,10.0,,8.0,,69.0,2.0,4.0,12.0,2.0,,,,,,,9.0,,
Taekwondo,4.0,,,1.0,,,,,7.0,1.0,1.0,,22.0,3.0,9.0,,,,,4.0,2.0,,,1.0,1.0,,,,,13.0,,,,,4.0,2.0,10.0,,,,3.0,16.0,8.0,,1.0,,9.0,,1.0,3.0,10.0,,13.0,,,4.0,,,6.0,1.0,15.0,,,17.0,,,,,5.0,14.0,,,3.0,,17.0,,,,,11.0,,11.0,1.0,5.0,1.0,,,2.0,,2.0,1.0,3.0,,,14.0,,1.0,,3.0,,11.0,,1.0,8.0,7.0,9.0,2.0,2.0,,21.0,,1.0,1.0,,,3.0,,,3.0,1.0,,,,,,15.0,4.0,,1.0,,17.0,1.0,1.0,,3.0,,,1.0,,,,,,,1.0,7.0,3.0,,7.0,1.0,4.0,,8.0,,,2.0,,3.0,10.0,,,4.0,4.0,2.0,,4.0,1.0,,,,1.0,11.0,,,2.0,,3.0,,,,,4.0,,,,5.0,,,,,1.0,,,8.0,1.0,,,,1.0,13.0,2.0,,,,18.0,2.0,8.0,12.0,,1.0,,,3.0,,,,18.0,11.0,,10.0,9.0,,,,,2.0,,,,
Tennis,,,,2.0,,,,1.0,89.0,3.0,,,93.0,39.0,,13.0,,1.0,,80.0,1.0,1.0,,3.0,,30.0,28.0,1.0,,43.0,,,16.0,,,,57.0,,,,21.0,51.0,3.0,,,,15.0,,,1.0,37.0,,,2.0,72.0,54.0,,,2.0,6.0,,,1.0,124.0,7.0,,7.0,,11.0,174.0,9.0,,,,191.0,,,4.0,,84.0,,68.0,,,,,,3.0,,,60.0,18.0,50.0,1.0,,19.0,,,20.0,,107.0,,,,65.0,8.0,,,,29.0,,,,,6.0,,,,,,2.0,1.0,9.0,8.0,,6.0,,,1.0,,30.0,,,,,,1.0,,,,,,,,,53.0,,,6.0,,34.0,,9.0,,,,9.0,3.0,,,,,38.0,12.0,,5.0,,,,46.0,51.0,77.0,,,,3.0,,,,,,20.0,2.0,,,24.0,,,,,56.0,,46.0,129.0,,,,35.0,,13.0,,,,1.0,17.0,,6.0,1.0,,,,,23.0,,10.0,2.0,200.0,6.0,,11.0,,,,,,,,6.0,,19.0
Trampolining,,,,1.0,,,,,,,,,6.0,,,,,,,,,,,,,12.0,,,,1.0,,,,,,,13.0,,,,,14.0,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,6.0,,,,,9.0,,,5.0,,9.0,,1.0,,,,,,,,,,,,,,,,,,,3.0,,,,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,1.0,,,,,,,,,,,7.0,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,9.0,,,,8.0,5.0,,,,,,,,,,,,
Triathlon,,1.0,,,,,,,6.0,,,,29.0,13.0,1.0,,,1.0,,12.0,,5.0,,,,,,,,20.0,,,,,,,25.0,,,,5.0,11.0,,,,,3.0,,,3.0,,,,,17.0,7.0,,,,2.0,,,,26.0,3.0,,,,,26.0,,,,,29.0,,,,,23.0,,3.0,,,,,,,3.0,,12.0,,,,,5.0,,,1.0,,17.0,,1.0,1.0,25.0,6.0,,,,1.0,,,,,,,,,,,,,4.0,,,,,,,,11.0,,,,,,,1.0,,2.0,,,,,,13.0,,,,,1.0,,24.0,,,,,,,,,,7.0,9.0,,1.0,,,,,13.0,20.0,,,,,,,,,,2.0,,,,,,,,,25.0,,3.0,4.0,,1.0,,,,,,,,,,,,,,,,,11.0,,,,29.0,,,2.0,,,,,,,,,,3.0
Tug-Of-War,,,,,,,,,,,,,,8.0,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,5.0,,,,,40.0,,,,,9.0,,13.0,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,
Volleyball,,,,31.0,,,,,94.0,,,,48.0,,,,,,,12.0,,,,,,,,,,285.0,,,106.0,,,,84.0,,,,,126.0,,10.0,,,,,,,11.0,,170.0,,,,,,24.0,,60.0,,,36.0,,,20.0,,,46.0,34.0,,,,24.0,,60.0,,,60.0,,24.0,,,,,,,,,47.0,,,,12.0,,,,,,192.0,,,,232.0,12.0,24.0,,,215.0,,,,,,9.0,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,105.0,,,,,,,,,,,,75.0,,,,,140.0,,11.0,12.0,,,,54.0,,142.0,,,,35.0,,,,,,,,,,59.0,,,,,,,,12.0,,,,83.0,,,,,,,,,70.0,12.0,,,,,12.0,,141.0,,263.0,,,22.0,,,,,,,,12.0,,
Water Polo,,,,,,,,,28.0,,,,249.0,28.0,,,,,,100.0,,,,,,,,,,96.0,,,22.0,,,,74.0,,,,8.0,76.0,,,,,,,,,77.0,,57.0,,,,,,,,51.0,,,210.0,,,13.0,,,125.0,58.0,,,,107.0,,11.0,,,123.0,,200.0,,,,,,,,,304.0,,19.0,,11.0,14.0,,8.0,,,279.0,,,,76.0,61.0,,,,13.0,,,,,,,,,,,,,7.0,,,,,,,,40.0,,,,,18.0,39.0,,,,,,,,,195.0,,,,,,,1.0,,,,,,,,,,,9.0,,,,,,93.0,17.0,103.0,,,,38.0,,,10.0,,,,,,,39.0,,,,,36.0,,13.0,71.0,,,,43.0,,,,,,,,,,,,,10.0,,13.0,,99.0,15.0,317.0,,,,,,,,,,,122.0,,
Weightlifting,,11.0,17.0,19.0,,,,,36.0,36.0,3.0,7.0,78.0,82.0,21.0,,,2.0,,46.0,,,,1.0,1.0,48.0,,3.0,,25.0,,,93.0,,,,59.0,,,,6.0,93.0,,11.0,,8.0,65.0,1.0,,4.0,3.0,,67.0,1.0,7.0,26.0,,,21.0,16.0,86.0,,8.0,34.0,20.0,,10.0,8.0,65.0,129.0,31.0,4.0,,,128.0,,31.0,16.0,,95.0,2.0,83.0,,13.0,,4.0,8.0,2.0,1.0,3.0,99.0,49.0,40.0,1.0,74.0,3.0,29.0,7.0,12.0,1.0,94.0,,5.0,,111.0,40.0,9.0,7.0,4.0,117.0,,7.0,2.0,,20.0,7.0,,,,13.0,,6.0,14.0,3.0,5.0,11.0,11.0,,21.0,,28.0,13.0,1.0,,,1.0,,2.0,,7.0,,17.0,,,11.0,23.0,7.0,,27.0,,14.0,11.0,24.0,,12.0,17.0,,13.0,23.0,,2.0,10.0,117.0,10.0,51.0,33.0,5.0,,,71.0,15.0,45.0,,,13.0,1.0,,5.0,11.0,,2.0,,2.0,7.0,,,4.0,,,4.0,40.0,,10.0,64.0,3.0,12.0,,66.0,4.0,43.0,1.0,9.0,,,60.0,8.0,12.0,66.0,2.0,2.0,7.0,7.0,49.0,,71.0,4.0,153.0,23.0,,27.0,9.0,,,1.0,,,,4.0,,1.0
Wrestling,42.0,,4.0,19.0,,,,,68.0,47.0,,2.0,101.0,95.0,67.0,2.0,,,,113.0,,,,1.0,,67.0,10.0,1.0,,13.0,1.0,,223.0,,1.0,2.0,174.0,,,,1.0,81.0,2.0,24.0,,,23.0,,,,5.0,,123.0,2.0,11.0,100.0,,,7.0,9.0,107.0,,5.0,40.0,52.0,,20.0,,274.0,196.0,76.0,1.0,,3.0,198.0,8.0,57.0,67.0,,168.0,,143.0,,24.0,2.0,6.0,,1.0,,1.0,279.0,2.0,104.0,9.0,189.0,9.0,23.0,2.0,17.0,4.0,164.0,,,4.0,238.0,77.0,7.0,34.0,,156.0,,,,,18.0,,,,,23.0,,16.0,18.0,1.0,,40.0,2.0,,19.0,,71.0,110.0,,8.0,,4.0,,,,2.0,7.0,,2.0,,1.0,44.0,,,35.0,,88.0,,17.0,,32.0,18.0,,22.0,26.0,,4.0,,178.0,20.0,32.0,26.0,,,,171.0,28.0,120.0,,3.0,3.0,3.0,40.0,,,,,,1.0,,,6.0,1.0,,,,114.0,,13.0,286.0,,38.0,,105.0,,,11.0,2.0,,,7.0,,29.0,266.0,,,4.0,,89.0,,160.0,,383.0,52.0,,35.0,8.0,,,,2.0,1.0,,79.0,2.0,
