Sport,127.0,128.0,130.0,131.0,132.0,133.0,135.0,136.0,137.0,138.0,139.0,140.0,141.0,142.0,143.0,144.0,145.0,146.0,147.0,148.0,149.0,150.0,151.0,152.0,153.0,154.0,155.0,156.0,157.0,158.0,159.0,160.0,161.0,162.0,163.0,164.0,165.0,166.0,167.0,168.0,169.0,170.0,171.0,172.0,173.0,174.0,175.0,176.0,177.0,178.0,179.0,180.0,181.0,182.0,183.0,184.0,185.0,186.0,187.0,188.0,189.0,190.0,191.0,192.0,193.0,194.0,195.0,196.0,197.0,198.0,199.0,200.0,201.0,202.0,203.0,204.0,205.0,206.0,207.0,208.0,209.0,210.0,211.0,212.0,213.0,214.0,215.0,216.0,217.0,218.0,219.0,220.0,221.0,223.0,226.0
Alpine Skiing,,,,,,,,,,,,,,5.0,,,,,,,,,,3.0,2.0,5.0,24.0,27.0,18.0,39.0,56.0,130.0,68.0,149.0,172.0,177.0,303.0,94.0,227.0,349.0,169.0,425.0,213.0,325.0,272.0,188.0,333.0,260.0,174.0,349.0,112.0,453.0,147.0,242.0,223.0,192.0,135.0,104.0,40.0,51.0,48.0,33.0,12.0,23.0,13.0,7.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Archery,,,,,,,,,,,,,,,,,,,,,,,,6.0,8.0,,9.0,8.0,25.0,12.0,15.0,37.0,17.0,49.0,40.0,76.0,88.0,31.0,72.0,115.0,65.0,153.0,77.0,77.0,53.0,57.0,118.0,57.0,23.0,123.0,26.0,109.0,56.0,41.0,70.0,39.0,46.0,32.0,16.0,27.0,21.0,13.0,16.0,,7.0,3.0,6.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Art Competitions,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,1.0,2.0,,1.0,,1.0,,4.0,,1.0,3.0,3.0,12.0,1.0,2.0,8.0,1.0,,,1.0,3.0,5.0,,,,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athletics,,,,,,,,,,,,,,1.0,,,5.0,1.0,4.0,12.0,11.0,46.0,9.0,51.0,63.0,48.0,166.0,69.0,173.0,208.0,152.0,579.0,146.0,469.0,593.0,483.0,1081.0,517.0,789.0,1460.0,563.0,1923.0,698.0,1246.0,1270.0,1108.0,1897.0,1141.0,705.0,2000.0,651.0,2154.0,670.0,887.0,1593.0,679.0,1151.0,809.0,643.0,993.0,297.0,739.0,386.0,271.0,324.0,180.0,181.0,184.0,86.0,113.0,34.0,64.0,41.0,34.0,21.0,17.0,7.0,2.0,5.0,4.0,,,,,,,,,,,,,,,
Badminton,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,5.0,4.0,12.0,6.0,11.0,29.0,19.0,28.0,51.0,36.0,50.0,31.0,42.0,48.0,51.0,63.0,63.0,60.0,53.0,47.0,80.0,30.0,36.0,63.0,47.0,72.0,49.0,61.0,56.0,28.0,26.0,21.0,26.0,18.0,15.0,6.0,16.0,12.0,4.0,3.0,1.0,,,,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,
Baseball,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,2.0,,,1.0,,5.0,1.0,,1.0,3.0,15.0,8.0,19.0,14.0,11.0,42.0,29.0,34.0,44.0,18.0,83.0,16.0,64.0,61.0,32.0,64.0,40.0,27.0,64.0,16.0,37.0,15.0,24.0,15.0,1.0,15.0,12.0,1.0,5.0,1.0,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,
Basketball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,9.0,2.0,4.0,24.0,20.0,11.0,21.0,6.0,61.0,8.0,30.0,41.0,30.0,106.0,46.0,34.0,117.0,35.0,180.0,52.0,94.0,168.0,50.0,172.0,80.0,111.0,154.0,45.0,255.0,92.0,126.0,154.0,80.0,152.0,133.0,51.0,156.0,27.0,140.0,64.0,62.0,92.0,74.0,74.0,74.0,36.0,78.0,25.0,46.0,41.0,14.0,43.0,13.0,16.0,12.0,8.0,13.0,1.0,6.0,4.0,4.0,3.0
Beach Volleyball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,5.0,1.0,1.0,5.0,3.0,12.0,4.0,10.0,8.0,11.0,16.0,5.0,21.0,20.0,9.0,38.0,23.0,14.0,24.0,18.0,14.0,23.0,7.0,13.0,12.0,37.0,22.0,15.0,31.0,20.0,13.0,15.0,4.0,17.0,7.0,13.0,7.0,7.0,7.0,2.0,1.0,3.0,1.0,1.0,,3.0,,1.0,,,,,,,,,,,
Biathlon,,,,,,,,,,,,,,,,,,,,,,10.0,5.0,9.0,,10.0,3.0,14.0,28.0,53.0,42.0,102.0,74.0,105.0,147.0,106.0,173.0,123.0,117.0,183.0,58.0,248.0,100.0,229.0,229.0,190.0,217.0,148.0,72.0,264.0,140.0,326.0,182.0,167.0,186.0,101.0,123.0,96.0,67.0,62.0,18.0,21.0,19.0,14.0,13.0,23.0,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,
Bobsleigh,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,8.0,,,1.0,,5.0,2.0,5.0,1.0,2.0,9.0,7.0,12.0,32.0,8.0,51.0,8.0,67.0,75.0,28.0,76.0,37.0,66.0,198.0,56.0,231.0,74.0,174.0,236.0,97.0,126.0,102.0,59.0,130.0,66.0,78.0,31.0,14.0,33.0,10.0,12.0,13.0,8.0,12.0,1.0,6.0,2.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,
Boxing,1.0,1.0,2.0,,,1.0,2.0,,,,,1.0,,1.0,1.0,,1.0,,1.0,1.0,,21.0,3.0,13.0,10.0,18.0,32.0,33.0,39.0,43.0,22.0,159.0,48.0,121.0,139.0,108.0,266.0,93.0,167.0,228.0,120.0,340.0,94.0,193.0,191.0,123.0,273.0,129.0,109.0,207.0,86.0,239.0,81.0,101.0,124.0,58.0,117.0,65.0,32.0,71.0,23.0,69.0,20.0,28.0,18.0,13.0,21.0,22.0,3.0,17.0,,6.0,2.0,,1.0,3.0,2.0,,,1.0,,,,,,,,,,,,,,,
Canoeing,,,,,,,,,,,,,,,,,,,,,,,1.0,,5.0,3.0,8.0,3.0,7.0,8.0,8.0,50.0,18.0,38.0,41.0,51.0,123.0,54.0,107.0,148.0,119.0,240.0,75.0,194.0,207.0,178.0,296.0,208.0,144.0,401.0,186.0,385.0,150.0,281.0,269.0,197.0,239.0,196.0,149.0,163.0,78.0,160.0,94.0,82.0,63.0,28.0,28.0,26.0,10.0,17.0,1.0,3.0,7.0,4.0,8.0,,1.0,,,,,,,,,,,,,,,,,,
Cross Country Skiing,,,,,,,,,,,,,,,,,,,,,,3.0,8.0,2.0,7.0,16.0,13.0,9.0,50.0,140.0,39.0,175.0,98.0,270.0,168.0,199.0,356.0,147.0,322.0,402.0,186.0,505.0,144.0,303.0,286.0,300.0,441.0,322.0,218.0,467.0,134.0,436.0,165.0,216.0,303.0,121.0,239.0,103.0,64.0,96.0,42.0,54.0,16.0,14.0,24.0,25.0,1.0,1.0,14.0,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Curling,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,3.0,2.0,4.0,3.0,5.0,4.0,2.0,10.0,3.0,10.0,10.0,13.0,18.0,5.0,10.0,17.0,19.0,30.0,7.0,11.0,15.0,10.0,24.0,6.0,18.0,20.0,19.0,30.0,8.0,10.0,27.0,14.0,22.0,5.0,11.0,8.0,8.0,,,3.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycling,,,,,,,,1.0,,3.0,,,,,,,,1.0,,1.0,1.0,9.0,,,1.0,6.0,15.0,16.0,24.0,31.0,24.0,106.0,26.0,80.0,97.0,95.0,240.0,97.0,180.0,296.0,125.0,471.0,208.0,332.0,382.0,285.0,530.0,336.0,312.0,510.0,267.0,618.0,246.0,344.0,391.0,157.0,300.0,181.0,128.0,162.0,77.0,92.0,40.0,32.0,37.0,11.0,11.0,19.0,6.0,7.0,1.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,
Diving,,,,,,,,,2.0,,,,,5.0,,,,,9.0,4.0,6.0,16.0,6.0,28.0,19.0,20.0,64.0,53.0,55.0,57.0,46.0,130.0,14.0,90.0,91.0,78.0,122.0,64.0,104.0,131.0,52.0,186.0,44.0,87.0,75.0,70.0,110.0,32.0,25.0,59.0,18.0,41.0,12.0,8.0,23.0,3.0,7.0,5.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equestrianism,,,,,,,,,,,,,,,,,,,,2.0,,2.0,3.0,20.0,3.0,3.0,8.0,19.0,13.0,21.0,20.0,59.0,10.0,94.0,86.0,50.0,139.0,66.0,134.0,271.0,119.0,313.0,163.0,305.0,231.0,179.0,310.0,216.0,133.0,293.0,79.0,305.0,98.0,153.0,164.0,66.0,111.0,94.0,46.0,38.0,24.0,81.0,10.0,6.0,13.0,6.0,12.0,9.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Fencing,,,,,,,,,,,,,,,,,,,,,,,,21.0,8.0,3.0,11.0,10.0,26.0,34.0,17.0,89.0,34.0,82.0,58.0,99.0,170.0,91.0,118.0,254.0,151.0,415.0,120.0,216.0,256.0,267.0,376.0,245.0,184.0,496.0,143.0,544.0,155.0,335.0,385.0,192.0,275.0,187.0,103.0,209.0,58.0,181.0,67.0,53.0,86.0,20.0,20.0,49.0,8.0,13.0,3.0,14.0,6.0,,,,1.0,,,4.0,,,,,,,,,,,,,,,
Figure Skating,,,,,,,,,2.0,,,,,1.0,2.0,,2.0,2.0,2.0,10.0,5.0,30.0,1.0,43.0,23.0,18.0,44.0,16.0,47.0,39.0,38.0,114.0,24.0,76.0,45.0,53.0,107.0,23.0,54.0,69.0,21.0,85.0,30.0,31.0,56.0,45.0,64.0,40.0,32.0,69.0,21.0,84.0,16.0,42.0,58.0,11.0,20.0,11.0,17.0,16.0,1.0,2.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Football,,,,,,,,,,,,1.0,,,,,,,,,,3.0,,4.0,7.0,4.0,13.0,19.0,22.0,25.0,14.0,57.0,29.0,59.0,63.0,74.0,142.0,65.0,85.0,162.0,107.0,321.0,121.0,257.0,211.0,195.0,311.0,214.0,155.0,288.0,157.0,319.0,103.0,180.0,161.0,102.0,140.0,95.0,72.0,74.0,49.0,56.0,32.0,26.0,16.0,7.0,10.0,8.0,6.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
Freestyle Skiing,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,3.0,7.0,1.0,6.0,6.0,27.0,18.0,10.0,36.0,8.0,35.0,22.0,33.0,47.0,26.0,35.0,47.0,21.0,75.0,32.0,29.0,44.0,15.0,53.0,35.0,25.0,55.0,9.0,47.0,19.0,17.0,22.0,7.0,10.0,11.0,2.0,7.0,4.0,4.0,2.0,4.0,4.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,3.0,,,7.0,2.0,8.0,1.0,3.0,16.0,3.0,10.0,1.0,3.0,7.0,2.0,11.0,1.0,,10.0,2.0,10.0,1.0,,10.0,1.0,3.0,2.0,2.0,4.0,,,4.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gymnastics,6.0,,,,6.0,5.0,12.0,27.0,11.0,15.0,43.0,50.0,24.0,100.0,72.0,97.0,142.0,137.0,161.0,159.0,136.0,368.0,151.0,453.0,352.0,325.0,466.0,546.0,611.0,683.0,360.0,1112.0,535.0,942.0,1053.0,838.0,1105.0,717.0,930.0,972.0,665.0,1222.0,554.0,660.0,442.0,321.0,286.0,200.0,90.0,219.0,26.0,126.0,8.0,21.0,69.0,19.0,11.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Handball,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,2.0,1.0,,13.0,3.0,13.0,22.0,10.0,34.0,28.0,32.0,60.0,37.0,92.0,48.0,124.0,70.0,81.0,93.0,95.0,66.0,153.0,72.0,209.0,88.0,117.0,120.0,110.0,116.0,137.0,121.0,102.0,70.0,148.0,71.0,121.0,84.0,107.0,88.0,94.0,65.0,72.0,28.0,52.0,8.0,23.0,23.0,4.0,1.0,5.0,1.0,,2.0,4.0,4.0,1.0,,1.0,,,,,,,,,
Hockey,,,,,,,,,,1.0,,,,,,,,,1.0,,,7.0,,21.0,7.0,5.0,20.0,21.0,35.0,31.0,45.0,115.0,63.0,61.0,108.0,116.0,205.0,73.0,126.0,191.0,93.0,346.0,95.0,188.0,191.0,157.0,214.0,192.0,138.0,224.0,111.0,239.0,96.0,158.0,156.0,89.0,113.0,46.0,53.0,48.0,25.0,30.0,10.0,6.0,15.0,3.0,7.0,13.0,2.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,
Ice Hockey,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,2.0,1.0,3.0,6.0,10.0,10.0,16.0,33.0,14.0,25.0,72.0,36.0,65.0,69.0,45.0,91.0,67.0,190.0,54.0,118.0,131.0,102.0,255.0,157.0,130.0,360.0,114.0,462.0,166.0,183.0,343.0,119.0,260.0,156.0,110.0,211.0,62.0,124.0,68.0,48.0,60.0,12.0,17.0,12.0,3.0,7.0,3.0,1.0,2.0,,,,,3.0,,,,,,,,,,,,,,,,,
Jeu De Paume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Judo,,,,,,,,,,,,,,,1.0,,1.0,5.0,1.0,1.0,,20.0,4.0,5.0,13.0,18.0,34.0,18.0,51.0,50.0,29.0,119.0,38.0,71.0,69.0,71.0,131.0,50.0,95.0,140.0,74.0,236.0,59.0,125.0,140.0,84.0,193.0,86.0,49.0,159.0,47.0,221.0,47.0,93.0,105.0,61.0,99.0,72.0,49.0,63.0,27.0,75.0,23.0,38.0,30.0,11.0,22.0,18.0,8.0,18.0,2.0,9.0,1.0,5.0,6.0,2.0,3.0,,,,,1.0,,,4.0,,,,,,,,,,
Lacrosse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luge,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,5.0,4.0,1.0,9.0,2.0,11.0,13.0,23.0,39.0,26.0,25.0,42.0,21.0,81.0,40.0,69.0,67.0,65.0,76.0,59.0,31.0,119.0,27.0,99.0,43.0,55.0,65.0,43.0,58.0,44.0,15.0,32.0,20.0,9.0,15.0,7.0,8.0,,,4.0,,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
Modern Pentathlon,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,3.0,9.0,1.0,,9.0,9.0,15.0,10.0,24.0,14.0,15.0,63.0,39.0,51.0,61.0,42.0,83.0,89.0,52.0,79.0,42.0,146.0,47.0,73.0,45.0,41.0,58.0,44.0,25.0,57.0,4.0,14.0,3.0,5.0,,5.0,9.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
Motorboating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nordic Combined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,5.0,,8.0,28.0,5.0,20.0,12.0,43.0,67.0,47.0,34.0,90.0,41.0,117.0,39.0,48.0,108.0,54.0,97.0,29.0,29.0,66.0,34.0,22.0,17.0,16.0,2.0,31.0,6.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Racquets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhythmic Gymnastics,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,2.0,1.0,5.0,7.0,4.0,4.0,4.0,29.0,9.0,33.0,30.0,48.0,33.0,33.0,53.0,49.0,21.0,69.0,15.0,32.0,53.0,30.0,24.0,20.0,8.0,8.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rowing,,,,,1.0,,,,1.0,,,1.0,,1.0,,,,5.0,3.0,2.0,1.0,15.0,4.0,14.0,6.0,13.0,16.0,6.0,31.0,28.0,10.0,77.0,15.0,24.0,33.0,24.0,83.0,25.0,42.0,84.0,35.0,170.0,58.0,134.0,132.0,110.0,170.0,139.0,150.0,319.0,136.0,381.0,234.0,248.0,440.0,278.0,382.0,326.0,299.0,364.0,211.0,494.0,243.0,288.0,361.0,162.0,226.0,229.0,127.0,164.0,80.0,109.0,61.0,34.0,18.0,14.0,15.0,4.0,4.0,5.0,1.0,,,,,,,,,,,,,,
Rugby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,5.0,1.0,,3.0,1.0,3.0,11.0,1.0,3.0,,2.0,6.0,1.0,7.0,1.0,,6.0,1.0,,,2.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rugby Sevens,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,5.0,2.0,3.0,4.0,2.0,8.0,8.0,4.0,15.0,6.0,7.0,15.0,7.0,15.0,6.0,21.0,13.0,10.0,10.0,5.0,10.0,5.0,3.0,10.0,4.0,7.0,10.0,4.0,17.0,5.0,4.0,11.0,7.0,5.0,4.0,4.0,8.0,3.0,2.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
Sailing,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,2.0,,3.0,5.0,14.0,12.0,14.0,7.0,35.0,16.0,22.0,29.0,51.0,105.0,42.0,82.0,143.0,71.0,234.0,111.0,225.0,193.0,144.0,283.0,182.0,154.0,261.0,119.0,441.0,156.0,206.0,264.0,151.0,262.0,151.0,134.0,150.0,86.0,142.0,31.0,35.0,48.0,28.0,33.0,16.0,7.0,15.0,,10.0,2.0,,2.0,2.0,,,,,,,,,4.0,,,,,,,,,,
Shooting,,,,,2.0,,,,,,,,,,,,,1.0,2.0,,4.0,4.0,13.0,19.0,13.0,36.0,41.0,33.0,64.0,94.0,44.0,151.0,56.0,165.0,165.0,142.0,280.0,100.0,177.0,377.0,183.0,610.0,176.0,325.0,405.0,259.0,612.0,308.0,257.0,407.0,182.0,542.0,123.0,261.0,303.0,152.0,145.0,103.0,78.0,61.0,34.0,56.0,17.0,15.0,23.0,13.0,7.0,2.0,6.0,7.0,4.0,1.0,,8.0,,,,,,,,,,,1.0,,,,,,,,,,
Short Track Speed Skating,,,,,,,,,,,,,,,,,,,,,,3.0,,4.0,8.0,10.0,27.0,10.0,25.0,8.0,3.0,94.0,31.0,35.0,88.0,43.0,83.0,46.0,47.0,73.0,48.0,89.0,45.0,70.0,124.0,50.0,73.0,46.0,5.0,63.0,10.0,85.0,18.0,31.0,17.0,19.0,10.0,16.0,9.0,18.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skeleton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,7.0,,1.0,4.0,7.0,2.0,,6.0,2.0,6.0,7.0,4.0,9.0,10.0,4.0,7.0,4.0,6.0,17.0,2.0,14.0,2.0,6.0,3.0,6.0,10.0,9.0,1.0,4.0,,5.0,1.0,,,,,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Ski Jumping,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,2.0,1.0,5.0,,7.0,2.0,33.0,6.0,18.0,43.0,9.0,50.0,49.0,52.0,114.0,41.0,90.0,166.0,94.0,116.0,101.0,82.0,169.0,100.0,160.0,82.0,71.0,87.0,83.0,70.0,28.0,18.0,15.0,20.0,17.0,2.0,,15.0,,,6.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,
Snowboarding,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,5.0,2.0,5.0,15.0,10.0,5.0,32.0,15.0,21.0,23.0,26.0,59.0,19.0,24.0,41.0,31.0,54.0,31.0,33.0,31.0,23.0,52.0,24.0,23.0,50.0,14.0,71.0,11.0,21.0,24.0,25.0,39.0,36.0,9.0,6.0,5.0,10.0,6.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Softball,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,,7.0,8.0,3.0,23.0,5.0,11.0,17.0,6.0,36.0,21.0,25.0,41.0,15.0,49.0,19.0,29.0,29.0,12.0,22.0,11.0,7.0,8.0,5.0,5.0,2.0,8.0,5.0,5.0,3.0,,,2.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Speed Skating,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,8.0,23.0,7.0,8.0,26.0,36.0,45.0,42.0,125.0,28.0,122.0,92.0,100.0,138.0,80.0,235.0,214.0,98.0,260.0,142.0,197.0,190.0,128.0,228.0,85.0,94.0,238.0,64.0,312.0,118.0,166.0,194.0,84.0,165.0,67.0,61.0,71.0,74.0,97.0,6.0,23.0,15.0,1.0,,,6.0,,4.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,
Swimming,,,,2.0,,,,,,1.0,5.0,2.0,,4.0,1.0,,1.0,2.0,4.0,,,16.0,5.0,22.0,18.0,23.0,29.0,22.0,47.0,80.0,80.0,240.0,112.0,205.0,254.0,191.0,473.0,327.0,415.0,619.0,359.0,971.0,433.0,615.0,712.0,487.0,818.0,570.0,535.0,876.0,355.0,1075.0,482.0,607.0,850.0,501.0,921.0,519.0,464.0,664.0,284.0,651.0,290.0,237.0,490.0,234.0,187.0,213.0,77.0,166.0,47.0,102.0,35.0,42.0,40.0,14.0,4.0,5.0,3.0,8.0,7.0,,,,,,,,,,,,,,
Synchronized Swimming,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,,4.0,8.0,5.0,33.0,6.0,35.0,37.0,49.0,81.0,35.0,58.0,86.0,51.0,101.0,26.0,61.0,38.0,31.0,41.0,20.0,24.0,14.0,1.0,8.0,2.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Tennis,,,,,,,,,,,,,,,,,1.0,1.0,,,2.0,10.0,2.0,11.0,3.0,7.0,18.0,16.0,24.0,39.0,20.0,76.0,18.0,69.0,61.0,47.0,103.0,91.0,44.0,93.0,24.0,152.0,34.0,33.0,42.0,74.0,88.0,49.0,38.0,93.0,30.0,87.0,45.0,39.0,11.0,22.0,55.0,48.0,6.0,8.0,15.0,14.0,3.0,7.0,9.0,,1.0,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Taekwondo,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,2.0,7.0,4.0,4.0,2.0,2.0,7.0,3.0,5.0,12.0,15.0,17.0,6.0,13.0,21.0,8.0,34.0,12.0,26.0,29.0,18.0,37.0,19.0,22.0,34.0,8.0,39.0,7.0,13.0,27.0,10.0,27.0,13.0,6.0,7.0,5.0,18.0,13.0,9.0,6.0,,2.0,6.0,4.0,4.0,1.0,2.0,6.0,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,,
Tennis,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,6.0,5.0,,3.0,13.0,9.0,16.0,18.0,40.0,58.0,27.0,39.0,59.0,43.0,96.0,31.0,66.0,73.0,36.0,135.0,50.0,60.0,91.0,30.0,175.0,24.0,83.0,90.0,47.0,153.0,22.0,26.0,102.0,15.0,109.0,41.0,22.0,39.0,14.0,10.0,23.0,,18.0,,10.0,,,8.0,1.0,,2.0,,1.0,,,,,,,,,,,,,,,
Trampolining,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,6.0,4.0,13.0,,4.0,4.0,8.0,8.0,3.0,12.0,2.0,13.0,15.0,3.0,9.0,6.0,7.0,3.0,,8.0,,6.0,1.0,4.0,4.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triathlon,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,4.0,1.0,7.0,5.0,1.0,19.0,9.0,8.0,14.0,14.0,16.0,22.0,18.0,31.0,12.0,30.0,18.0,17.0,21.0,14.0,23.0,15.0,16.0,29.0,12.0,20.0,15.0,19.0,14.0,13.0,19.0,12.0,9.0,5.0,6.0,6.0,6.0,1.0,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tug-Of-War,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,3.0,4.0,,,,4.0,1.0,1.0,3.0,,1.0,2.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volleyball,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,3.0,,,,9.0,3.0,3.0,5.0,5.0,6.0,8.0,13.0,22.0,37.0,24.0,53.0,46.0,57.0,64.0,70.0,88.0,61.0,59.0,98.0,64.0,156.0,65.0,91.0,116.0,109.0,136.0,126.0,88.0,127.0,70.0,140.0,91.0,87.0,106.0,121.0,98.0,108.0,80.0,115.0,31.0,97.0,47.0,70.0,41.0,30.0,41.0,30.0,14.0,14.0,12.0,10.0,5.0,3.0,1.0,,3.0,,3.0,,1.0,,,,
Water Polo,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,9.0,,1.0,,,1.0,2.0,3.0,6.0,4.0,8.0,7.0,20.0,22.0,16.0,44.0,21.0,37.0,67.0,45.0,83.0,67.0,65.0,149.0,41.0,193.0,84.0,98.0,122.0,68.0,160.0,137.0,118.0,129.0,57.0,184.0,86.0,96.0,98.0,54.0,65.0,78.0,45.0,76.0,16.0,30.0,25.0,20.0,11.0,5.0,11.0,3.0,,,,,,,,,,,,,,,,,
Weightlifting,,,,,,,,,,,,2.0,1.0,2.0,,2.0,10.0,,13.0,12.0,16.0,68.0,14.0,47.0,28.0,36.0,91.0,55.0,75.0,94.0,34.0,211.0,36.0,108.0,102.0,89.0,169.0,46.0,127.0,123.0,51.0,197.0,64.0,126.0,95.0,78.0,128.0,61.0,56.0,83.0,29.0,107.0,45.0,53.0,50.0,13.0,53.0,12.0,20.0,20.0,5.0,17.0,2.0,12.0,11.0,2.0,1.0,1.0,4.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Wrestling,,,,,,,,,2.0,,,2.0,,,,,1.0,,8.0,1.0,2.0,20.0,5.0,23.0,25.0,35.0,64.0,62.0,72.0,90.0,39.0,223.0,77.0,159.0,153.0,131.0,323.0,125.0,170.0,237.0,132.0,370.0,94.0,206.0,171.0,132.0,258.0,137.0,104.0,201.0,81.0,293.0,67.0,116.0,123.0,82.0,129.0,94.0,84.0,89.0,39.0,111.0,34.0,31.0,30.0,15.0,30.0,6.0,2.0,20.0,,6.0,2.0,,3.0,2.0,1.0,,,,,,,,,2.0,,,,,,,,,
