,Weight,Sport,count
843,61.0,Nordic Combined,31
844,61.0,Rhythmic Gymnastics,1
845,61.0,Rowing,22
846,61.0,Rugby Sevens,4
847,61.0,Sailing,59
848,61.0,Shooting,84
849,61.0,Short Track Speed Skating,34
850,61.0,Skeleton,6
851,61.0,Ski Jumping,71
852,61.0,Snowboarding,27
853,61.0,Softball,16
854,61.0,Speed Skating,148
855,61.0,Swimming,477
856,61.0,Synchronized Swimming,28
857,61.0,Table Tennis,19
858,61.0,Taekwondo,2
859,61.0,Tennis,37
860,61.0,Trampolining,5
861,61.0,Triathlon,19
862,61.0,Volleyball,31
863,61.0,Water Polo,19
864,61.0,Weightlifting,5
865,61.0,Wrestling,33
866,61.5,Biathlon,5
867,61.5,Cross Country Skiing,6
868,61.5,Swimming,3
869,61.5,Wrestling,2
870,62.0,Alpine Skiing,196
871,62.0,Archery,56
872,62.0,Athletics,1103
873,62.0,Badminton,49
874,62.0,Baseball,1
875,62.0,Basketball,37
876,62.0,Beach Volleyball,12
877,62.0,Biathlon,122
878,62.0,Bobsleigh,3
879,62.0,Boxing,33
880,62.0,Canoeing,90
881,62.0,Cross Country Skiing,196
882,62.0,Curling,11
883,62.0,Cycling,181
884,62.0,Diving,95
885,62.0,Equestrianism,114
886,62.0,Fencing,128
887,62.0,Figure Skating,23
888,62.0,Football,126
889,62.0,Freestyle Skiing,35
890,62.0,Golf,2
891,62.0,Gymnastics,804
892,62.0,Handball,59
893,62.0,Hockey,160
894,62.0,Ice Hockey,37
895,62.0,Judo,23
896,62.0,Luge,16
897,62.0,Modern Pentathlon,19
898,62.0,Nordic Combined,66
899,62.0,Rhythmic Gymnastics,3
900,62.0,Rowing,27
901,62.0,Rugby Sevens,3
902,62.0,Sailing,105
903,62.0,Shooting,97
904,62.0,Short Track Speed Skating,61
905,62.0,Skeleton,4
906,62.0,Ski Jumping,103
907,62.0,Snowboarding,28
908,62.0,Softball,16
909,62.0,Speed Skating,148
910,62.0,Swimming,603
911,62.0,Synchronized Swimming,26
912,62.0,Table Tennis,75
913,62.0,Taekwondo,8
914,62.0,Tennis,69
915,62.0,Trampolining,8
916,62.0,Triathlon,18
917,62.0,Volleyball,62
918,62.0,Water Polo,31
919,62.0,Weightlifting,86
920,62.0,Wrestling,233
921,62.5,Athletics,2
922,62.5,Modern Pentathlon,3
923,62.5,Nordic Combined,2
924,62.5,Shooting,4
925,62.5,Wrestling,1
926,63.0,Alpine Skiing,211
927,63.0,Archery,84
928,63.0,Art Competitions,1
929,63.0,Athletics,1031
930,63.0,Badminton,36
931,63.0,Basketball,36
932,63.0,Beach Volleyball,2
933,63.0,Biathlon,86
934,63.0,Bobsleigh,8
935,63.0,Boxing,189
936,63.0,Canoeing,129
937,63.0,Cross Country Skiing,195
938,63.0,Curling,13
939,63.0,Cycling,221
940,63.0,Diving,50
941,63.0,Equestrianism,195
942,63.0,Fencing,192
943,63.0,Figure Skating,29
944,63.0,Football,99
945,63.0,Freestyle Skiing,30
946,63.0,Golf,4
947,63.0,Gymnastics,676
948,63.0,Handball,54
949,63.0,Hockey,144
950,63.0,Ice Hockey,63
951,63.0,Judo,158
952,63.0,Luge,21
953,63.0,Modern Pentathlon,29
954,63.0,Nordic Combined,79
955,63.0,Rhythmic Gymnastics,1
956,63.0,Rowing,20
957,63.0,Rugby Sevens,10
958,63.0,Sailing,120
959,63.0,Shooting,194
960,63.0,Short Track Speed Skating,88
961,63.0,Skeleton,2
962,63.0,Ski Jumping,110
963,63.0,Snowboarding,29
964,63.0,Softball,27
965,63.0,Speed Skating,135
966,63.0,Swimming,579
967,63.0,Synchronized Swimming,15
968,63.0,Table Tennis,75
969,63.0,Taekwondo,10
970,63.0,Tennis,45
971,63.0,Trampolining,5
972,63.0,Triathlon,10
973,63.0,Volleyball,81
974,63.0,Water Polo,26
975,63.0,Weightlifting,68
976,63.0,Wrestling,154
977,63.5,Cross Country Skiing,4
978,63.5,Fencing,5
979,63.5,Football,1
980,63.5,Gymnastics,39
981,63.5,Swimming,8
982,63.5,Weightlifting,14
983,64.0,Alpine Skiing,198
984,64.0,Archery,78
985,64.0,Athletics,1099
986,64.0,Badminton,38
987,64.0,Baseball,3
988,64.0,Basketball,35
989,64.0,Beach Volleyball,17
990,64.0,Biathlon,85
991,64.0,Bobsleigh,4
992,64.0,Boxing,243
993,64.0,Canoeing,112
994,64.0,Cross Country Skiing,241
995,64.0,Curling,8
996,64.0,Cycling,206
997,64.0,Diving,42
998,64.0,Equestrianism,137
999,64.0,Fencing,184
1000,64.0,Figure Skating,24
1001,64.0,Football,141
1002,64.0,Freestyle Skiing,34
1003,64.0,Golf,3
1004,64.0,Gymnastics,912
1005,64.0,Handball,68
1006,64.0,Hockey,167
1007,64.0,Ice Hockey,51
1008,64.0,Judo,30
1009,64.0,Lacrosse,1
1010,64.0,Luge,26
1011,64.0,Modern Pentathlon,33
1012,64.0,Nordic Combined,58
1013,64.0,Rhythmic Gymnastics,1
1014,64.0,Rowing,31
1015,64.0,Rugby Sevens,11
1016,64.0,Sailing,102
1017,64.0,Shooting,123
1018,64.0,Short Track Speed Skating,25
1019,64.0,Skeleton,5
1020,64.0,Ski Jumping,130
1021,64.0,Snowboarding,32
1022,64.0,Softball,21
1023,64.0,Speed Skating,113
1024,64.0,Swimming,593
1025,64.0,Synchronized Swimming,14
1026,64.0,Table Tennis,47
1027,64.0,Taekwondo,5
1028,64.0,Tennis,63
1029,64.0,Trampolining,9
1030,64.0,Triathlon,19
1031,64.0,Volleyball,57
1032,64.0,Water Polo,25
1033,64.0,Weightlifting,30
1034,64.0,Wrestling,30
1035,64.5,Diving,3
1036,64.5,Fencing,1
1037,64.5,Rowing,1
1038,64.5,Ski Jumping,4
1039,64.5,Taekwondo,3
1040,64.5,Weightlifting,2
1041,64.5,Wrestling,2
1042,65.0,Alpine Skiing,285
1043,65.0,Archery,86
1044,65.0,Athletics,1232
1045,65.0,Badminton,105
1046,65.0,Baseball,4
1047,65.0,Basketball,60
1048,65.0,Beach Volleyball,19
1049,65.0,Biathlon,191
1050,65.0,Bobsleigh,15
1051,65.0,Boxing,34
1052,65.0,Canoeing,151
1053,65.0,Cross Country Skiing,281
1054,65.0,Curling,7
1055,65.0,Cycling,379
1056,65.0,Diving,109
1057,65.0,Equestrianism,266
1058,65.0,Fencing,169
1059,65.0,Figure Skating,46
1060,65.0,Football,183
1061,65.0,Freestyle Skiing,55
1062,65.0,Golf,7
1063,65.0,Gymnastics,918
1064,65.0,Handball,84
1065,65.0,Hockey,165
1066,65.0,Ice Hockey,65
1067,65.0,Judo,123
1068,65.0,Luge,46
1069,65.0,Modern Pentathlon,55
1070,65.0,Nordic Combined,90
1071,65.0,Rowing,51
1072,65.0,Rugby Sevens,10
1073,65.0,Sailing,170
1074,65.0,Shooting,271
1075,65.0,Short Track Speed Skating,108
1076,65.0,Skeleton,2
1077,65.0,Ski Jumping,106
1078,65.0,Snowboarding,34
1079,65.0,Softball,37
1080,65.0,Speed Skating,171
1081,65.0,Swimming,614
1082,65.0,Synchronized Swimming,14
1083,65.0,Table Tennis,88
1084,65.0,Taekwondo,8
1085,65.0,Tennis,70
1086,65.0,Trampolining,3
1087,65.0,Triathlon,21
1088,65.0,Volleyball,86
1089,65.0,Water Polo,42
1090,65.0,Weightlifting,22
1091,65.0,Wrestling,78
1092,65.5,Boxing,2
1093,65.5,Cross Country Skiing,4
1094,65.5,Gymnastics,8
1095,65.5,Ski Jumping,1
1096,65.5,Speed Skating,2
1097,65.5,Swimming,2
1098,65.5,Taekwondo,1
1099,65.5,Weightlifting,8
1100,66.0,Alpine Skiing,158
1101,66.0,Archery,22
1102,66.0,Art Competitions,1
1103,66.0,Athletics,794
1104,66.0,Badminton,28
1105,66.0,Baseball,1
1106,66.0,Basketball,28
1107,66.0,Beach Volleyball,12
1108,66.0,Biathlon,140
1109,66.0,Bobsleigh,3
1110,66.0,Boxing,37
1111,66.0,Canoeing,98
1112,66.0,Cross Country Skiing,149
1113,66.0,Curling,12
1114,66.0,Cycling,221
1115,66.0,Diving,45
1116,66.0,Equestrianism,193
1117,66.0,Fencing,110
1118,66.0,Figure Skating,23
1119,66.0,Football,136
1120,66.0,Freestyle Skiing,13
1121,66.0,Golf,2
1122,66.0,Gymnastics,498
1123,66.0,Handball,59
1124,66.0,Hockey,103
1125,66.0,Ice Hockey,66
1126,66.0,Judo,165
1127,66.0,Luge,32
1128,66.0,Modern Pentathlon,30
1129,66.0,Nordic Combined,55
1130,66.0,Rowing,47
1131,66.0,Rugby Sevens,7
1132,66.0,Sailing,111
1133,66.0,Shooting,121
1134,66.0,Short Track Speed Skating,24
1135,66.0,Skeleton,2
1136,66.0,Ski Jumping,124
1137,66.0,Snowboarding,26
1138,66.0,Softball,23
1139,66.0,Speed Skating,168
1140,66.0,Swimming,501
1141,66.0,Synchronized Swimming,3
1142,66.0,Table Tennis,36
1143,66.0,Taekwondo,5
1144,66.0,Tennis,34
1145,66.0,Trampolining,2
1146,66.0,Triathlon,12
1147,66.0,Volleyball,63
1148,66.0,Water Polo,18
1149,66.0,Weightlifting,38
1150,66.0,Wrestling,165
1151,66.5,Athletics,4
1152,66.5,Boxing,2
1153,66.5,Cross Country Skiing,3
1154,66.5,Fencing,1
1155,66.5,Ski Jumping,2
1156,66.5,Weightlifting,10
1157,67.0,Alpine Skiing,116
1158,67.0,Archery,25
1159,67.0,Art Competitions,5
1160,67.0,Athletics,796
1161,67.0,Badminton,25
1162,67.0,Baseball,8
1163,67.0,Basketball,43
1164,67.0,Beach Volleyball,16
1165,67.0,Biathlon,106
1166,67.0,Bobsleigh,9
1167,67.0,Boxing,267
1168,67.0,Canoeing,136
1169,67.0,Cross Country Skiing,206
1170,67.0,Curling,5
1171,67.0,Cycling,299
1172,67.0,Diving,46
1173,67.0,Equestrianism,141
1174,67.0,Fencing,173
1175,67.0,Figure Skating,24
1176,67.0,Football,127
1177,67.0,Freestyle Skiing,9
1178,67.0,Golf,3
1179,67.0,Gymnastics,678
1180,67.0,Handball,86
1181,67.0,Hockey,88
1182,67.0,Ice Hockey,90
1183,67.0,Judo,9
1184,67.0,Luge,29
1185,67.0,Modern Pentathlon,49
1186,67.0,Nordic Combined,91
1187,67.0,Rowing,49
1188,67.0,Rugby Sevens,4
1189,67.0,Sailing,109
1190,67.0,Shooting,183
1191,67.0,Short Track Speed Skating,23
1192,67.0,Ski Jumping,91
1193,67.0,Snowboarding,11
1194,67.0,Softball,17
1195,67.0,Speed Skating,114
1196,67.0,Swimming,464
1197,67.0,Synchronized Swimming,12
1198,67.0,Table Tennis,40
1199,67.0,Taekwondo,62
1200,67.0,Tennis,21
1201,67.0,Trampolining,5
1202,67.0,Triathlon,16
1203,67.0,Volleyball,81
1204,67.0,Water Polo,25
1205,67.0,Weightlifting,144
1206,67.0,Wrestling,87
1207,67.5,Athletics,3
1208,67.5,Biathlon,2
1209,67.5,Cycling,4
1210,67.5,Gymnastics,32
1211,67.5,Weightlifting,10
1212,68.0,Alpine Skiing,256
1213,68.0,Archery,40
1214,68.0,Athletics,1186
1215,68.0,Badminton,75
1216,68.0,Baseball,7
1217,68.0,Basketball,74
1218,68.0,Beach Volleyball,34
1219,68.0,Biathlon,156
1220,68.0,Bobsleigh,17
1221,68.0,Boxing,19
1222,68.0,Canoeing,165
1223,68.0,Cross Country Skiing,392
1224,68.0,Curling,23
1225,68.0,Cycling,412
1226,68.0,Diving,119
1227,68.0,Equestrianism,292
1228,68.0,Fencing,250
1229,68.0,Figure Skating,69
1230,68.0,Football,241
1231,68.0,Freestyle Skiing,41
1232,68.0,Golf,5
1233,68.0,Gymnastics,591
1234,68.0,Handball,84
1235,68.0,Hockey,184
1236,68.0,Ice Hockey,78
1237,68.0,Judo,48
1238,68.0,Luge,50
1239,68.0,Modern Pentathlon,75
1240,68.0,Nordic Combined,83
1241,68.0,Rowing,125
1242,68.0,Rugby,3
1243,68.0,Rugby Sevens,11
1244,68.0,Sailing,213
1245,68.0,Shooting,235
1246,68.0,Short Track Speed Skating,35
1247,68.0,Skeleton,4
1248,68.0,Ski Jumping,124
1249,68.0,Snowboarding,36
1250,68.0,Softball,29
1251,68.0,Speed Skating,127
1252,68.0,Swimming,633
1253,68.0,Synchronized Swimming,1
1254,68.0,Table Tennis,73
1255,68.0,Taekwondo,58
1256,68.0,Tennis,75
1257,68.0,Trampolining,5
1258,68.0,Triathlon,16
1259,68.0,Volleyball,93
1260,68.0,Water Polo,41
1261,68.0,Weightlifting,58
1262,68.0,Wrestling,223
1263,68.5,Boxing,2
1264,68.5,Cross Country Skiing,19
1265,68.5,Fencing,1
1266,68.5,Modern Pentathlon,6
1267,68.5,Sailing,1
1268,68.5,Weightlifting,4
1269,68.5,Wrestling,1
1270,69.0,Alpine Skiing,132
1271,69.0,Archery,32
1272,69.0,Athletics,570
1273,69.0,Badminton,17
1274,69.0,Baseball,2
1275,69.0,Basketball,47
1276,69.0,Beach Volleyball,10
1277,69.0,Biathlon,116
1278,69.0,Bobsleigh,5
1279,69.0,Boxing,119
1280,69.0,Canoeing,136
1281,69.0,Cross Country Skiing,184
1282,69.0,Curling,7
1283,69.0,Cycling,311
1284,69.0,Diving,24
1285,69.0,Equestrianism,132
1286,69.0,Fencing,176
1287,69.0,Figure Skating,23
1288,69.0,Football,144
1289,69.0,Freestyle Skiing,16
1290,69.0,Golf,1
1291,69.0,Gymnastics,237
1292,69.0,Handball,52
1293,69.0,Hockey,128
1294,69.0,Ice Hockey,58
1295,69.0,Judo,42
1296,69.0,Luge,29
1297,69.0,Modern Pentathlon,40
1298,69.0,Nordic Combined,64
1299,69.0,Rowing,101
1300,69.0,Rugby,2
1301,69.0,Rugby Sevens,7
1302,69.0,Sailing,105
1303,69.0,Shooting,95
1304,69.0,Short Track Speed Skating,28
1305,69.0,Ski Jumping,67
1306,69.0,Snowboarding,6
1307,69.0,Softball,8
1308,69.0,Speed Skating,61
1309,69.0,Swimming,278
1310,69.0,Synchronized Swimming,4
1311,69.0,Table Tennis,25
1312,69.0,Taekwondo,9
1313,69.0,Tennis,29
1314,69.0,Trampolining,4
1315,69.0,Triathlon,18
1316,69.0,Volleyball,48
1317,69.0,Water Polo,31
1318,69.0,Weightlifting,167
1319,69.0,Wrestling,80
1320,69.5,Athletics,2
1321,69.5,Badminton,3
1322,69.5,Biathlon,2
1323,69.5,Boxing,2
1324,69.5,Cross Country Skiing,2
1325,69.5,Fencing,2
1326,69.5,Gymnastics,16
1327,69.5,Judo,8
1328,69.5,Modern Pentathlon,2
1329,69.5,Sailing,1
1330,69.5,Shooting,3
1331,69.5,Ski Jumping,2
1332,69.5,Swimming,2
1333,69.5,Taekwondo,4
1334,69.5,Weightlifting,5
1335,70.0,Alpine Skiing,314
1336,70.0,Archery,105
1337,70.0,Athletics,1532
1338,70.0,Badminton,71
1339,70.0,Baseball,10
1340,70.0,Basketball,100
1341,70.0,Beach Volleyball,24
1342,70.0,Biathlon,274
1343,70.0,Bobsleigh,45
1344,70.0,Boxing,46
1345,70.0,Canoeing,270
1346,70.0,Cross Country Skiing,517
1347,70.0,Curling,13
1348,70.0,Cycling,584
1349,70.0,Diving,67
1350,70.0,Equestrianism,393
1351,70.0,Fencing,416
1352,70.0,Figure Skating,58
1353,70.0,Football,343
1354,70.0,Freestyle Skiing,36
1355,70.0,Golf,9
1356,70.0,Gymnastics,600
1357,70.0,Handball,110
1358,70.0,Hockey,227
1359,70.0,Ice Hockey,118
1360,70.0,Judo,157
1361,70.0,Luge,77
1362,70.0,Modern Pentathlon,121
1363,70.0,Nordic Combined,70
1364,70.0,Rowing,352
1365,70.0,Rugby,2
1366,70.0,Rugby Sevens,14
1367,70.0,Sailing,308
1368,70.0,Shooting,360
1369,70.0,Short Track Speed Skating,47
1370,70.0,Skeleton,2
1371,70.0,Ski Jumping,126
1372,70.0,Snowboarding,37
1373,70.0,Softball,27
1374,70.0,Speed Skating,233
1375,70.0,Swimming,856
1376,70.0,Synchronized Swimming,1
1377,70.0,Table Tennis,95
1378,70.0,Taekwondo,12
1379,70.0,Tennis,94
1380,70.0,Trampolining,4
1381,70.0,Triathlon,30
1382,70.0,Volleyball,137
1383,70.0,Water Polo,63
1384,70.0,Weightlifting,29
1385,70.0,Wrestling,89
1386,70.5,Archery,4
1387,70.5,Biathlon,10
1388,70.5,Equestrianism,7
1389,70.5,Sailing,1
1390,70.5,Weightlifting,8
1391,70.5,Wrestling,4
1392,71.0,Alpine Skiing,83
1393,71.0,Archery,29
1394,71.0,Athletics,509
1395,71.0,Badminton,29
1396,71.0,Baseball,1
1397,71.0,Basketball,24
1398,71.0,Beach Volleyball,9
1399,71.0,Biathlon,80
1400,71.0,Bobsleigh,9
1401,71.0,Boxing,237
1402,71.0,Canoeing,100
1403,71.0,Cross Country Skiing,162
1404,71.0,Curling,6
1405,71.0,Cycling,283
1406,71.0,Diving,22
1407,71.0,Equestrianism,110
1408,71.0,Fencing,125
1409,71.0,Figure Skating,21
1410,71.0,Football,139
1411,71.0,Freestyle Skiing,17
1412,71.0,Gymnastics,212
1413,71.0,Handball,55
1414,71.0,Hockey,102
1415,71.0,Ice Hockey,59
1416,71.0,Judo,95
1417,71.0,Luge,14
1418,71.0,Modern Pentathlon,48
1419,71.0,Nordic Combined,19
1420,71.0,Rowing,149
1421,71.0,Rugby,1
1422,71.0,Rugby Sevens,4
1423,71.0,Sailing,87
1424,71.0,Shooting,87
1425,71.0,Short Track Speed Skating,49
1426,71.0,Skeleton,2
1427,71.0,Ski Jumping,26
1428,71.0,Snowboarding,14
1429,71.0,Softball,3
1430,71.0,Speed Skating,108
1431,71.0,Swimming,325
1432,71.0,Table Tennis,24
1433,71.0,Taekwondo,2
1434,71.0,Tennis,8
1435,71.0,Trampolining,1
1436,71.0,Triathlon,11
1437,71.0,Volleyball,63
1438,71.0,Water Polo,26
1439,71.0,Weightlifting,19
1440,71.0,Wrestling,29
1441,71.5,Alpine Skiing,3
1442,71.5,Athletics,1
1443,71.5,Nordic Combined,2
1444,71.5,Weightlifting,6
1445,72.0,Alpine Skiing,203
1446,72.0,Archery,62
1447,72.0,Athletics,947
1448,72.0,Badminton,43
1449,72.0,Baseball,13
1450,72.0,Basketball,88
1451,72.0,Beach Volleyball,22
1452,72.0,Biathlon,281
1453,72.0,Bobsleigh,24
1454,72.0,Boxing,24
1455,72.0,Canoeing,203
1456,72.0,Cross Country Skiing,351
1457,72.0,Curling,16
1458,72.0,Cycling,381
1459,72.0,Diving,40
1460,72.0,Equestrianism,237
1461,72.0,Fencing,233
1462,72.0,Figure Skating,44
1463,72.0,Football,239
1464,72.0,Freestyle Skiing,37
1465,72.0,Golf,4
1466,72.0,Gymnastics,185
1467,72.0,Handball,72
1468,72.0,Hockey,150
1469,72.0,Ice Hockey,123
1470,72.0,Judo,32
1471,72.0,Luge,34
1472,72.0,Modern Pentathlon,80
1473,72.0,Nordic Combined,48
1474,72.0,Rowing,348
1475,72.0,Rugby,3
1476,72.0,Rugby Sevens,5
1477,72.0,Sailing,191
1478,72.0,Shooting,235
1479,72.0,Short Track Speed Skating,27
1480,72.0,Skeleton,2
1481,72.0,Ski Jumping,52
1482,72.0,Snowboarding,25
1483,72.0,Softball,18
1484,72.0,Speed Skating,189
1485,72.0,Swimming,534
1486,72.0,Table Tennis,63
1487,72.0,Taekwondo,7
1488,72.0,Tennis,58
1489,72.0,Trampolining,2
1490,72.0,Triathlon,23
1491,72.0,Volleyball,116
1492,72.0,Water Polo,58
1493,72.0,Weightlifting,25
1494,72.0,Wrestling,55
1495,72.5,Athletics,5
1496,72.5,Boxing,1
1497,72.5,Judo,1
1498,72.5,Nordic Combined,6
1499,72.5,Ski Jumping,1
1500,72.5,Weightlifting,5
1501,73.0,Alpine Skiing,179
1502,73.0,Archery,52
1503,73.0,Athletics,872
1504,73.0,Badminton,50
1505,73.0,Baseball,8
1506,73.0,Basketball,91
1507,73.0,Beach Volleyball,22
1508,73.0,Biathlon,168
1509,73.0,Bobsleigh,34
1510,73.0,Boxing,19
1511,73.0,Canoeing,202
1512,73.0,Cross Country Skiing,301
1513,73.0,Curling,7
1514,73.0,Cycling,325
1515,73.0,Diving,58
1516,73.0,Equestrianism,205
1517,73.0,Fencing,219
1518,73.0,Figure Skating,47
1519,73.0,Football,233
1520,73.0,Freestyle Skiing,30
1521,73.0,Golf,3
1522,73.0,Gymnastics,156
1523,73.0,Handball,95
1524,73.0,Hockey,146
1525,73.0,Ice Hockey,85
1526,73.0,Judo,157
1527,73.0,Lacrosse,1
1528,73.0,Luge,43
1529,73.0,Modern Pentathlon,74
1530,73.0,Nordic Combined,38
1531,73.0,Rowing,243
1532,73.0,Rugby,1
1533,73.0,Rugby Sevens,12
1534,73.0,Sailing,193
1535,73.0,Shooting,258
1536,73.0,Short Track Speed Skating,61
1537,73.0,Skeleton,5
1538,73.0,Ski Jumping,87
1539,73.0,Snowboarding,19
1540,73.0,Softball,19
1541,73.0,Speed Skating,139
1542,73.0,Swimming,605
1543,73.0,Table Tennis,46
1544,73.0,Taekwondo,8
1545,73.0,Tennis,47
1546,73.0,Trampolining,1
1547,73.0,Triathlon,11
1548,73.0,Volleyball,93
1549,73.0,Water Polo,55
1550,73.0,Weightlifting,37
1551,73.0,Wrestling,77
1552,73.5,Alpine Skiing,6
1553,73.5,Athletics,3
1554,73.5,Canoeing,2
1555,73.5,Ice Hockey,1
1556,73.5,Nordic Combined,3
1557,73.5,Ski Jumping,3
1558,73.5,Weightlifting,9
1559,74.0,Alpine Skiing,92
1560,74.0,Archery,34
1561,74.0,Athletics,684
1562,74.0,Badminton,30
1563,74.0,Baseball,17
1564,74.0,Basketball,60
1565,74.0,Beach Volleyball,4
1566,74.0,Biathlon,137
1567,74.0,Bobsleigh,12
1568,74.0,Boxing,30
1569,74.0,Canoeing,138
1570,74.0,Cross Country Skiing,264
1571,74.0,Curling,7
1572,74.0,Cycling,269
1573,74.0,Diving,53
1574,74.0,Equestrianism,110
1575,74.0,Fencing,209
1576,74.0,Figure Skating,33
1577,74.0,Football,217
1578,74.0,Freestyle Skiing,11
1579,74.0,Golf,2
1580,74.0,Gymnastics,54
1581,74.0,Handball,72
1582,74.0,Hockey,160
1583,74.0,Ice Hockey,90
1584,74.0,Judo,14
1585,74.0,Luge,44
1586,74.0,Modern Pentathlon,63
1587,74.0,Nordic Combined,22
1588,74.0,Rowing,179
1589,74.0,Rugby,1
1590,74.0,Rugby Sevens,4
1591,74.0,Sailing,155
1592,74.0,Shooting,197
1593,74.0,Short Track Speed Skating,37
1594,74.0,Skeleton,1
1595,74.0,Ski Jumping,32
1596,74.0,Snowboarding,12
1597,74.0,Softball,6
1598,74.0,Speed Skating,97
1599,74.0,Swimming,504
1600,74.0,Table Tennis,38
1601,74.0,Taekwondo,5
1602,74.0,Tennis,52
1603,74.0,Trampolining,1
1604,74.0,Triathlon,12
1605,74.0,Volleyball,82
1606,74.0,Water Polo,56
1607,74.0,Weightlifting,78
1608,74.0,Wrestling,328
1609,74.5,Athletics,1
1610,74.5,Biathlon,1
1611,74.5,Canoeing,4
1612,74.5,Diving,2
1613,74.5,Football,1
1614,74.5,Sailing,3
1615,74.5,Shooting,1
1616,74.5,Weightlifting,12
1617,74.5,Wrestling,1
1618,74.6666666666667,Weightlifting,3
1619,75.0,Alpine Skiing,257
1620,75.0,Archery,96
1621,75.0,Art Competitions,1
1622,75.0,Athletics,1162
1623,75.0,Badminton,53
1624,75.0,Baseball,40
1625,75.0,Basketball,128
1626,75.0,Beach Volleyball,16
1627,75.0,Biathlon,207
1628,75.0,Bobsleigh,53
1629,75.0,Boxing,317
1630,75.0,Canoeing,252
1631,75.0,Cross Country Skiing,270
1632,75.0,Curling,14
1633,75.0,Cycling,395
1634,75.0,Diving,41
1635,75.0,Equestrianism,217
1636,75.0,Fencing,410
1637,75.0,Figure Skating,53
1638,75.0,Football,293
1639,75.0,Freestyle Skiing,35
1640,75.0,Golf,5
1641,75.0,Gymnastics,108
1642,75.0,Handball,101
1643,75.0,Hockey,180
1644,75.0,Ice Hockey,129
1645,75.0,Judo,29
1646,75.0,Lacrosse,2
1647,75.0,Luge,67
1648,75.0,Modern Pentathlon,90
1649,75.0,Nordic Combined,27
1650,75.0,Rowing,291
1651,75.0,Rugby,1
1652,75.0,Rugby Sevens,11
1653,75.0,Sailing,211
1654,75.0,Shooting,370
1655,75.0,Short Track Speed Skating,63
